# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
1.030326146,0.0373,0.7820,0.6325,1.006
1.03311099,0.0353,0.7825,0.6330,1.007
1.035779063,0.0343,0.7820,0.6345,1.008
1.039158229,0.0324,0.7825,0.6354,1.009
1.044873542,0.0285,0.7796,0.6369,1.007
1.050939323,0.0294,0.7776,0.6413,1.008
1.053674011,0.0294,0.7762,0.6472,1.011
1.058094531,0.0299,0.7732,0.6472,1.009
1.061253281,0.0329,0.7732,0.6486,1.010
1.063780417,0.0333,0.7713,0.6472,1.007
1.06662901,0.0348,0.7708,0.6457,1.006
1.0707425,0.0377,0.7708,0.6452,1.006
1.077325104,0.0397,0.7708,0.6486,1.008
1.080521667,0.0377,0.7742,0.6452,1.009
1.084719219,0.0382,0.7727,0.6433,1.006
1.095425156,0.0392,0.7757,0.6389,1.006
1.109946406,0.0417,0.7786,0.6286,1.002
1.120506146,0.0475,0.7840,0.6174,0.999
1.124550781,0.0465,0.7840,0.6051,0.991
1.12832125,0.0451,0.7830,0.5983,0.986
1.132991823,0.0436,0.7830,0.5949,0.984
1.13804151,0.0412,0.7820,0.5929,0.982
1.140741719,0.0402,0.7820,0.5915,0.981
1.145638438,0.0407,0.7786,0.5895,0.977
1.148255677,0.0407,0.7786,0.5885,0.977
1.152176875,0.0436,0.7786,0.5890,0.977
1.155269427,0.0441,0.7771,0.5876,0.975
1.159890833,0.0480,0.7791,0.5827,0.974
1.162656406,0.0504,0.7786,0.5817,0.973
1.165506563,0.0500,0.7781,0.5812,0.973
1.168061094,0.0514,0.7786,0.5788,0.972
1.17235224,0.0544,0.7810,0.5758,0.972
1.176834479,0.0568,0.7810,0.5734,0.971
1.181102031,0.0553,0.7825,0.5729,0.971
1.185248646,0.0563,0.7830,0.5724,0.972
1.192633385,0.0583,0.7815,0.5734,0.971
1.198426875,0.0583,0.7810,0.5788,0.974
1.202410469,0.0583,0.7830,0.5822,0.977
1.204935573,0.0534,0.7845,0.5895,0.983
1.209905052,0.0485,0.7874,0.5944,0.988
1.214175833,0.0407,0.7928,0.5944,0.992
1.217806406,0.0368,0.7947,0.5949,0.993
1.221657396,0.0290,0.7977,0.6003,0.999
1.224683177,0.0275,0.7957,0.5993,0.997
1.228678542,0.0250,0.7972,0.6037,1.000
1.233558906,0.0250,0.7952,0.6061,1.000
1.237139896,0.0221,0.7957,0.6130,1.005
1.23972875,0.0221,0.7962,0.6149,1.006
1.245227083,0.0221,0.7908,0.6139,1.001
1.2510725,0.0236,0.7864,0.6154,0.999
1.254140365,0.0250,0.7835,0.6135,0.995
1.258805469,0.0280,0.7815,0.6130,0.994
1.26170974,0.0319,0.7806,0.6159,0.995
1.264271146,0.0353,0.7801,0.6149,0.994
1.26901901,0.0373,0.7766,0.6154,0.992
1.274490729,0.0475,0.7727,0.6183,0.991
1.277438698,0.0514,0.7727,0.6208,0.993
1.280274792,0.0539,0.7703,0.6237,0.993
1.284180365,0.0578,0.7683,0.6320,0.997
1.289890365,0.0583,0.7669,0.6340,0.997
1.295073906,0.0583,0.7664,0.6398,1.000
1.298940573,0.0539,0.7669,0.6418,1.001
1.303864375,0.0514,0.7708,0.6398,1.003
1.308985104,0.0461,0.7723,0.6374,1.002
1.31154526,0.0431,0.7727,0.6345,1.001
1.319063802,0.0412,0.7752,0.6364,1.004
1.322536823,0.0377,0.7815,0.6393,1.010
1.326960729,0.0348,0.7850,0.6354,1.011
1.331919531,0.0338,0.7864,0.6320,1.009
1.334735365,0.0329,0.7869,0.6310,1.009
1.337674115,0.0324,0.7879,0.6310,1.010
1.342652448,0.0348,0.7850,0.6291,1.007
1.347825104,0.0348,0.7864,0.6291,1.008
1.350586719,0.0353,0.7845,0.6281,1.006
1.355618073,0.0392,0.7830,0.6281,1.005
1.360760625,0.0402,0.7810,0.6266,1.002
1.366559531,0.0402,0.7786,0.6237,0.998
1.36943349,0.0421,0.7781,0.6232,0.998
1.372581458,0.0421,0.7771,0.6203,0.995
1.375558021,0.0436,0.7757,0.6203,0.994
1.378277969,0.0446,0.7742,0.6188,0.992
1.382301406,0.0441,0.7737,0.6159,0.990
1.394411406,0.0456,0.7723,0.6135,0.987
1.408199583,0.0504,0.7713,0.6159,0.988
1.413244427,0.0446,0.7786,0.6203,0.996
1.418028802,0.0426,0.7791,0.6242,0.999
1.421226302,0.0426,0.7801,0.6252,1.001
1.425024427,0.0426,0.7801,0.6291,1.003
1.42835401,0.0417,0.7791,0.6320,1.004
1.43156099,0.0421,0.7806,0.6335,1.006
1.434330052,0.0402,0.7810,0.6345,1.007
1.438215573,0.0412,0.7786,0.6354,1.006
1.441704896,0.0412,0.7806,0.6350,1.007
1.444742448,0.0421,0.7820,0.6325,1.007
1.44827026,0.0382,0.7801,0.6257,1.001
1.451061979,0.0363,0.7810,0.6237,1.000
1.45543901,0.0343,0.7854,0.6183,1.000
1.458621927,0.0353,0.7884,0.6164,1.001
1.461598333,0.0348,0.7884,0.6135,1.000
1.467819479,0.0338,0.7884,0.6110,0.998
1.471820104,0.0304,0.7894,0.6100,0.998
1.474539687,0.0304,0.7879,0.6100,0.997
1.477229167,0.0299,0.7859,0.6086,0.994
1.48041849,0.0314,0.7859,0.6047,0.992
1.48451099,0.0304,0.7859,0.6022,0.991
1.487014531,0.0324,0.7830,0.6007,0.987
1.49376,0.0343,0.7815,0.5983,0.985
1.514032396,0.0397,0.7786,0.5934,0.980
1.519263958,0.0436,0.7796,0.6056,0.988
1.525882239,0.0431,0.7810,0.6086,0.991
1.528900052,0.0402,0.7830,0.6169,0.998
1.53320151,0.0363,0.7796,0.6213,0.998
1.536138229,0.0358,0.7806,0.6227,0.999
1.539204167,0.0358,0.7806,0.6242,1.000
1.543380573,0.0368,0.7786,0.6296,1.002
1.549028906,0.0368,0.7796,0.6335,1.005
1.551750469,0.0368,0.7806,0.6359,1.007
1.554704114,0.0373,0.7801,0.6374,1.008
1.558911927,0.0397,0.7791,0.6398,1.009
1.564085573,0.0417,0.7771,0.6374,1.006
1.567169375,0.0407,0.7757,0.6384,1.005
1.569764219,0.0412,0.7742,0.6384,1.004
1.574406667,0.0397,0.7727,0.6403,1.004
1.57779651,0.0392,0.7727,0.6398,1.004
1.580711614,0.0373,0.7747,0.6364,1.003
1.58448776,0.0368,0.7747,0.6354,1.003
1.597552552,0.0343,0.7752,0.6306,1.000
1.604407604,0.0377,0.7762,0.6257,0.998
1.609091562,0.0441,0.7742,0.6227,0.995
1.611978177,0.0456,0.7742,0.6237,0.995
1.614920521,0.0480,0.7752,0.6252,0.997
1.619033698,0.0490,0.7742,0.6208,0.994
1.623306771,0.0509,0.7732,0.6227,0.994
1.62608026,0.0514,0.7742,0.6232,0.995
1.632139635,0.0514,0.7737,0.6183,0.992
1.635086667,0.0490,0.7727,0.6154,0.989
1.640087708,0.0495,0.7757,0.6130,0.990
1.643860521,0.0480,0.7757,0.6130,0.990
1.649415,0.0456,0.7786,0.6091,0.990
1.653148125,0.0436,0.7796,0.6091,0.990
1.658742656,0.0431,0.7786,0.6100,0.990
1.661877917,0.0402,0.7806,0.6125,0.993
1.664922864,0.0387,0.7801,0.6115,0.992
1.668527292,0.0392,0.7830,0.6110,0.994
1.671141406,0.0402,0.7825,0.6115,0.994
1.673706302,0.0392,0.7835,0.6110,0.994
1.678273542,0.0402,0.7830,0.6110,0.994
1.681380364,0.0397,0.7820,0.6125,0.994
1.686292448,0.0368,0.7840,0.6110,0.995
1.695200625,0.0358,0.7840,0.6125,0.996
1.709566719,0.0319,0.7845,0.6139,0.997
1.715080625,0.0304,0.7830,0.6198,0.999
1.720244323,0.0319,0.7801,0.6198,0.997
1.722752344,0.0319,0.7801,0.6198,0.997
1.726611771,0.0338,0.7810,0.6247,1.001
1.729227031,0.0329,0.7801,0.6271,1.001
1.733224375,0.0329,0.7791,0.6266,1.000
1.739484427,0.0319,0.7796,0.6247,1.000
1.742012344,0.0290,0.7810,0.6227,0.999
1.746439687,0.0255,0.7815,0.6198,0.998
1.749797187,0.0246,0.7854,0.6208,1.001
1.756687135,0.0250,0.7854,0.6208,1.001
1.759202969,0.0265,0.7835,0.6208,1.000
1.761771927,0.0285,0.7854,0.6242,1.004
1.766169948,0.0290,0.7840,0.6257,1.003
1.768941458,0.0338,0.7825,0.6237,1.001
